scenario,fiscal_year,metric,value,unit
Partial Recovery,2031,required_re_tax_rate_nominal_per_100,0.9601963446920212,USD_per_100_AV
Partial Recovery,2031,required_re_rate_delta_vs_fy26_nominal,0.05419634469202117,USD_per_100_AV
Partial Recovery,2031,required_re_rate_delta_vs_fy27_nominal,0.0951963446920212,USD_per_100_AV
Partial Recovery,2031,debt_service_total,175419137.0,USD
Partial Recovery,2031,debt_service_to_revenue_ratio,0.07469175098805489,fraction
Partial Recovery,2031,debt_service_headroom_vs_10pct_cap,59438306.66610709,USD
Partial Recovery,2031,debt_service_cap_breached,0.0,boolean
Partial Recovery,2031,unassigned_gf_balance_eoy,-612261187.431282,USD
Partial Recovery,2031,unassigned_gf_balance_policy_floor_7_5pct,176143082.7495803,USD
Partial Recovery,2031,unassigned_gf_balance_floor_breached,1.0,boolean
CAPEX Spillover (impairment triggered),2027,total_revenue,2135583162.2649999,USD
CAPEX Spillover (impairment triggered),2027,split_base_eligible_for_schools_transfer,1728609429.0,USD
CAPEX Spillover (impairment triggered),2027,schools_transfer,989283176.2167001,USD
CAPEX Spillover (impairment triggered),2027,total_committed_expenditure,2219751411.9467,USD
CAPEX Spillover (impairment triggered),2027,surplus_or_deficit,-84168249.68170023,USD
CAPEX Spillover (impairment triggered),2027,unassigned_gf_balance_eoy,50555750.31829977,USD
CAPEX Spillover (impairment triggered),2027,unassigned_gf_balance_policy_floor_7_5pct,160168737.169875,USD
CAPEX Spillover (impairment triggered),2027,unassigned_gf_balance_floor_breached,1.0,boolean
CAPEX Spillover (impairment triggered),2027,debt_service_total,153192809.0,USD
CAPEX Spillover (impairment triggered),2027,debt_service_to_revenue_ratio,0.07173347856775743,fraction
CAPEX Spillover (impairment triggered),2027,debt_service_headroom_vs_10pct_cap,60365507.226500005,USD
CAPEX Spillover (impairment triggered),2027,debt_service_cap_breached,0.0,boolean
CAPEX Spillover (impairment triggered),2028,total_revenue,2128290407.794275,USD
CAPEX Spillover (impairment triggered),2028,split_base_eligible_for_schools_transfer,1715415216.0,USD
CAPEX Spillover (impairment triggered),2028,schools_transfer,981732128.1168001,USD
